"ConsentCookie","ConsentCookie"
"Enable the ConsentCookie configurator in order to easily configure ConsentCookie.","Schakel de ConsentCookie Configurator in om gemakkelijk de instellingen aan te passen."
"HumanSwitch - ConsentCookie Configurations","HumanSwitch - ConsentCookie Instellingen"
"Overrides Magento's Google Analytics template to comply with ConsentCookie","Overschrijft Magento's Google Analytics template voor integratie met ConsentCookie"
"Override Magento Google Analytics","Overschrijf Magento Google Analytics"
"Local","Lokaal"
"Load method","Laad methode"
"Use CDN for the latest version and local for the included version of ConsentCookie.","Gebruik CDN voor de laatste versie en lokaal voor de inbegrepen versie."
"This field contains the configuration in JSON format. Use the <a onclick=""Fieldset.toggleCollapse('consentcookie_configurator_group');"">configurator</a> in the section below to change this.","Dit veld bevat instellingen in JSON format, gebruik de <a onclick=""Fieldset.toggleCollapse('consentcookie_configurator_group');"">configurator</a> in de sectie beneden om dit te wijzigen."
"Configurator Settings","Configurator Instellingen"
"<strong>Information:</strong><br> For more information refer to the <a href=""https://github.com/humanswitch/magento2-consentcookie"">GitHub</a> page or the <a href=""https://www.consentcookie.nl/"">website</a>","<strong>Informatie:</strong><br> Voor meer informatie, kijk op <a href=""https://github.com/humanswitch/magento2-consentcookie"">GitHub</a> of de <a href=""https://www.consentcookie.nl/"">website</a>"
"Use the configurator below to modify the configuration in the area above.","Gebruik de configurator beneden om de instellingen in het vak hierboven aan te passen."
"Could not load the ConsentCookie configurator... Contact support for more information.","De ConsentCookie configurator kon niet worden geladen... neem contact op met support voor meer informatie."
